item_name,quantity_type,quantity,base_cost,calories_kcal,protein_g,fat_g,carbohydrates_g,fiber_g,sugar_g,sodium_mg,USD,EUR,GBP,INR,CNY,BRL,JPY,AUD,CAD,SGD,AED,SAR
Pine seeds,g,100,200,594.17,12.55,48.79,22.6,3.79,4.67,1.31,2.11,1.8,1.56,200,14.39,10.5,329.9,2.95,2.88,2.69,7.74,7.9
Pineapple,unit,1,40,43.02,0.52,0.16,8.56,3.46,8.56,1.43,0.42,0.36,0.31,40,2.88,2.1,65.98,0.59,0.58,0.54,1.55,1.58
Pippali,g,100,120,216.54,10.53,2.27,34.46,34.14,2.75,16.28,1.26,1.08,0.94,120,8.63,6.3,197.94,1.77,1.73,1.61,4.64,4.74
Piranha,g,100,30,131.21,20.46,5.43,0,0,0,38.97,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Pistachio nuts,g,100,140,539.44,23.35,42.49,14.55,10.64,7.9,6.93,1.48,1.26,1.09,140,10.07,7.35,230.93,2.06,2.02,1.88,5.42,5.53
Plantain,unit,1,10,46.85,1,0.34,7.82,3.66,0.56,16.42,0.11,0.09,0.08,10,0.72,0.52,16.5,0.15,0.14,0.13,0.39,0.4
Plum,unit,1,14,56.88,0.64,0.4,10.13,2.07,10.13,1.55,0.15,0.13,0.11,14,1.01,0.73,23.09,0.21,0.2,0.19,0.54,0.55
Pomegranate,unit,1,30,54.73,1.33,0.15,10.87,2.83,10.87,2.13,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Pomfret,g,100,30,111.78,19.66,3.47,0,0,0,50.43,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Ponnaganni,g,100,4,50.91,5.29,0.71,4.1,6.74,0.44,39.36,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
Poppy seeds,g,100,160,422.56,20.31,30.38,12.28,26.68,1.85,25.35,1.69,1.44,1.25,160,11.51,8.4,263.92,2.36,2.3,2.15,6.19,6.32
Pork,g,100,35,141.47,16.68,8.34,0,0,0,69.17,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
Potato,g,100,2.04,67.96,1.57,0.22,11.99,1.69,0.38,4.15,0.02,0.02,0.02,2.04,0.15,0.11,3.36,0.03,0.03,0.03,0.08,0.08
Poultry,g,100,17,108.03,19.89,3.08,0,0,0,56.09,0.18,0.15,0.13,17,1.22,0.89,28.04,0.25,0.24,0.23,0.66,0.67
Pranel,g,100,30,96.8,19.69,1.89,0,0,0,52.37,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Prawns,g,100,35,80.9,16.16,0.65,0,0,0,463.36,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
Pulli paarai,g,100,30,95.36,20.06,1.55,0,0,0,58.56,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Pummelo,unit,1,40,50.19,0.68,0.42,4.85,0.8,4.38,1.06,0.42,0.36,0.31,40,2.88,2.1,65.98,0.59,0.58,0.54,1.55,1.58
Pumpkin,unit,1,25,23.9,0.85,0.17,3.2,2.54,2.94,7.01,0.26,0.23,0.19,25,1.8,1.31,41.24,0.37,0.36,0.34,0.97,0.99
Pumpkin leaves,g,100,4,44.22,4.21,0.74,2.2,2.25,0.1,12.2,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
Quail,g,100,40,137.67,20.92,5.95,0,0,0,56.21,0.42,0.36,0.31,40,2.88,2.1,65.98,0.59,0.58,0.54,1.55,1.58
Queen fish,g,100,30,95.6,20.97,1.17,0,0,0,48.93,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Quinoa,g,100,30,328.39,13.11,5.5,49.82,14.66,1.41,4.5,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Raai fish,g,100,30,102.77,21.61,1.69,0,0,0,47.62,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Raai vanthu,g,100,30,97.99,19.39,2.17,0,0,0,50.83,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Rabbit,g,100,45,142.13,21.31,6.28,0,0,0,51.75,0.47,0.41,0.35,45,3.24,2.36,74.23,0.66,0.65,0.61,1.74,1.78
Radish,g,100,3,31.55,0.78,0.15,1.51,2.44,1.03,27.33,0.03,0.03,0.02,3,0.22,0.16,4.95,0.04,0.04,0.04,0.12,0.12
Radish leaves,g,100,4,26.05,2.22,0.51,2.09,1.82,0.29,17.39,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
